"dwal","p","ybar:0","ybar:1","ybar:2","Points:0","Points:1","Points:2"
5.524581330e-02,9.697819506e+04,1.258893970e+01,1.037840606e+00,0.000000000e+00,2.173420000e-01,2.190493727e-02,0.000000000e+00
5.439128319e-02,9.697815049e+04,1.259272418e+01,1.032008014e+00,0.000000000e+00,2.173420000e-01,2.105071365e-02,0.000000000e+00
5.314915931e-02,9.697808571e+04,1.259822521e+01,1.023529903e+00,0.000000000e+00,2.173420000e-01,1.980903527e-02,0.000000000e+00
2.109672611e-03,9.697635829e+04,1.992128188e+00,1.570821639e-02,0.000000000e+00,2.173420000e-01,-3.122782739e-02,0.000000000e+00
1.897903556e-03,9.697635830e+04,1.877807600e+00,1.341563898e-02,0.000000000e+00,2.173420000e-01,-3.143959644e-02,0.000000000e+00
1.738449358e-03,9.697635831e+04,1.791728462e+00,1.168941373e-02,0.000000000e+00,2.173420000e-01,-3.159905064e-02,0.000000000e+00
1.950218414e-03,9.697635830e+04,1.906049050e+00,1.398199114e-02,0.000000000e+00,2.173420000e-01,-3.138728159e-02,0.000000000e+00
5.650773208e-02,9.697825196e+04,1.258265032e+01,1.046109349e+00,0.000000000e+00,2.173420000e-01,2.316221925e-02,0.000000000e+00
5.731396875e-02,9.697829001e+04,1.257804125e+01,1.051021256e+00,0.000000000e+00,2.173420000e-01,2.396750502e-02,0.000000000e+00
5.885664024e-02,9.697836280e+04,1.256922214e+01,1.060419811e+00,0.000000000e+00,2.173420000e-01,2.550835705e-02,0.000000000e+00
5.939426359e-02,9.697838817e+04,1.256614867e+01,1.063695221e+00,0.000000000e+00,2.173420000e-01,2.604534632e-02,0.000000000e+00
1.686134500e-03,9.697635835e+04,1.763897805e+00,1.117568236e-02,0.000000000e+00,2.173420000e-01,-3.165136550e-02,0.000000000e+00
1.516719616e-03,9.697635840e+04,1.662082224e+00,9.462658214e-03,0.000000000e+00,2.173420000e-01,-3.182078038e-02,0.000000000e+00
1.389156529e-03,9.697635844e+04,1.585418891e+00,8.172814946e-03,0.000000000e+00,2.173420000e-01,-3.194834347e-02,0.000000000e+00
1.558571413e-03,9.697635839e+04,1.687234471e+00,9.885839092e-03,0.000000000e+00,2.173420000e-01,-3.177892859e-02,0.000000000e+00
6.349142198e-02,9.697858491e+04,1.254420368e+01,1.087445924e+00,0.000000000e+00,2.173420000e-01,3.013445194e-02,0.000000000e+00
6.145104070e-02,9.697848702e+04,1.255521714e+01,1.075463880e+00,0.000000000e+00,2.173420000e-01,2.810171311e-02,0.000000000e+00
6.142298254e-02,9.697848567e+04,1.255536627e+01,1.075303334e+00,0.000000000e+00,2.173420000e-01,2.807366055e-02,0.000000000e+00
1.347304732e-03,9.697635852e+04,1.560595969e+00,7.794726267e-03,0.000000000e+00,2.173420000e-01,-3.199019527e-02,0.000000000e+00
1.211773113e-03,9.697635861e+04,1.466271415e+00,6.498647757e-03,0.000000000e+00,2.173420000e-01,-3.212572689e-02,0.000000000e+00
1.109722861e-03,9.697635868e+04,1.395248545e+00,5.522748996e-03,0.000000000e+00,2.173420000e-01,-3.222777714e-02,0.000000000e+00
1.245254480e-03,9.697635859e+04,1.489573099e+00,6.818827506e-03,0.000000000e+00,2.173420000e-01,-3.209224552e-02,0.000000000e+00
6.751446203e-02,9.697875376e+04,1.251699805e+01,1.109720176e+00,0.000000000e+00,2.173420000e-01,3.416491218e-02,0.000000000e+00
6.652998314e-02,9.697870407e+04,1.252419327e+01,1.104708969e+00,0.000000000e+00,2.173420000e-01,3.318054762e-02,0.000000000e+00
6.551475698e-02,9.697866426e+04,1.253087903e+01,1.098941142e+00,0.000000000e+00,2.173420000e-01,3.216280407e-02,0.000000000e+00
6.417228706e-02,9.697861161e+04,1.253971985e+01,1.091314138e+00,0.000000000e+00,2.173420000e-01,3.081700532e-02,0.000000000e+00
1.076241494e-03,9.697635876e+04,1.372215042e+00,5.242345872e-03,0.000000000e+00,2.173420000e-01,-3.226125851e-02,0.000000000e+00
9.678164302e-04,9.697635882e+04,1.278579356e+00,4.252657029e-03,0.000000000e+00,2.173420000e-01,-3.236968357e-02,0.000000000e+00
8.861764023e-04,9.697635887e+04,1.208075178e+00,3.507458255e-03,0.000000000e+00,2.173420000e-01,-3.245132360e-02,0.000000000e+00
9.946014664e-04,9.697635881e+04,1.301710864e+00,4.497147098e-03,0.000000000e+00,2.173420000e-01,-3.234289853e-02,0.000000000e+00
6.847284898e-02,9.697880042e+04,1.251244951e+01,1.114434813e+00,0.000000000e+00,2.173420000e-01,3.512328772e-02,0.000000000e+00
6.941150042e-02,9.697884611e+04,1.250799464e+01,1.119052364e+00,0.000000000e+00,2.173420000e-01,3.606192799e-02,0.000000000e+00
7.033152613e-02,9.697889090e+04,1.250362816e+01,1.123578289e+00,0.000000000e+00,2.173420000e-01,3.698194275e-02,0.000000000e+00
7.121901529e-02,9.697892570e+04,1.249900422e+01,1.127994764e+00,0.000000000e+00,2.173420000e-01,3.786905572e-02,0.000000000e+00
8.593913660e-04,9.697635894e+04,1.185176592e+00,3.297799114e-03,0.000000000e+00,2.173420000e-01,-3.247810863e-02,0.000000000e+00
7.726514994e-04,9.697635897e+04,1.084620346e+00,2.551715878e-03,0.000000000e+00,2.173420000e-01,-3.256484850e-02,0.000000000e+00
7.073396161e-04,9.697635899e+04,1.008905245e+00,1.989943037e-03,0.000000000e+00,2.173420000e-01,-3.263016038e-02,0.000000000e+00
