"dwal","p","u:0","u:1","u:2","ybar:0","ybar:1","ybar:2","Points:0","Points:1","Points:2"
5.462861124e-03,9.694616729e+04,6.606567418e+00,1.473518679e-01,0.000000000e+00,6.491715147e+00,1.440998727e-01,0.000000000e+00,2.173420000e-01,-2.787463888e-02,0.000000000e+00
5.114351727e-03,9.694616203e+04,6.439172103e+00,1.350388003e-01,0.000000000e+00,6.321514281e+00,1.319996912e-01,0.000000000e+00,2.173420000e-01,-2.822314827e-02,0.000000000e+00
4.590153234e-03,9.694615413e+04,6.187390163e+00,1.165185208e-01,0.000000000e+00,6.065512469e+00,1.137996169e-01,0.000000000e+00,2.173420000e-01,-2.874734677e-02,0.000000000e+00
4.241643836e-03,9.694614887e+04,6.019994847e+00,1.042054533e-01,0.000000000e+00,5.895311604e+00,1.016994354e-01,0.000000000e+00,2.173420000e-01,-2.909585616e-02,0.000000000e+00
3.717445343e-03,9.694614203e+04,5.772944788e+00,8.743853265e-02,0.000000000e+00,5.649152450e+00,8.621090524e-02,0.000000000e+00,2.173420000e-01,-2.962005466e-02,0.000000000e+00
3.478537393e-03,9.694613841e+04,5.622709807e+00,7.940441273e-02,0.000000000e+00,5.501339925e+00,7.843757495e-02,0.000000000e+00,2.173420000e-01,-2.985896261e-02,0.000000000e+00
3.119192168e-03,9.694613297e+04,5.396738998e+00,6.732016596e-02,0.000000000e+00,5.279012770e+00,6.674558600e-02,0.000000000e+00,2.173420000e-01,-3.021830783e-02,0.000000000e+00
2.880284218e-03,9.694612936e+04,5.246504018e+00,5.928604604e-02,0.000000000e+00,5.131200245e+00,5.897225571e-02,0.000000000e+00,2.173420000e-01,-3.045721578e-02,0.000000000e+00
2.520938994e-03,9.694612481e+04,5.039766497e+00,4.897993873e-02,0.000000000e+00,4.928825631e+00,4.952110647e-02,0.000000000e+00,2.173420000e-01,-3.081656101e-02,0.000000000e+00
2.357164332e-03,9.694612261e+04,4.914553171e+00,4.422834947e-02,0.000000000e+00,4.807213619e+00,4.495766843e-02,0.000000000e+00,2.173420000e-01,-3.098033567e-02,0.000000000e+00
2.110828274e-03,9.694611929e+04,4.726217828e+00,3.708140898e-02,0.000000000e+00,4.624295068e+00,3.809372915e-02,0.000000000e+00,2.173420000e-01,-3.122667173e-02,0.000000000e+00
1.947053612e-03,9.694611709e+04,4.601004502e+00,3.232981973e-02,0.000000000e+00,4.502683056e+00,3.353029112e-02,0.000000000e+00,2.173420000e-01,-3.139044639e-02,0.000000000e+00
1.700717554e-03,9.694611433e+04,4.433552482e+00,2.649152227e-02,0.000000000e+00,4.339293937e+00,2.816459009e-02,0.000000000e+00,2.173420000e-01,-3.163678245e-02,0.000000000e+00
1.588447787e-03,9.694611293e+04,4.327130510e+00,2.376080513e-02,0.000000000e+00,4.236155590e+00,2.552434724e-02,0.000000000e+00,2.173420000e-01,-3.174905221e-02,0.000000000e+00
1.419581056e-03,9.694611081e+04,4.167059540e+00,1.965349032e-02,0.000000000e+00,4.081023573e+00,2.155311624e-02,0.000000000e+00,2.173420000e-01,-3.191791894e-02,0.000000000e+00
1.307311290e-03,9.694610941e+04,4.060637567e+00,1.692277317e-02,0.000000000e+00,3.977885227e+00,1.891287338e-02,0.000000000e+00,2.173420000e-01,-3.203018871e-02,0.000000000e+00
